a=410000000,b=430000000,d=5G n1
a=3700000000,b=3800000000,d=5G n2
a=1805000000,b=1880000000,d=5G n3
a=824000000,b=849000000,d=5G n5
a=2500000000,b=2570000000,d=5G n7
a=880000000,b=915000000,d=5G n8
a=1710000000,b=1785000000,d=5G n12
a=700000000,b=716000000,d=5G n14
a=758000000,b=768000000,d=5G n20
a=1447900000,b=1462900000,d=5G n21
a=3510000000,b=3590000000,d=5G n22
a=2000000000,b=2020000000,d=5G n23
a=1525000000,b=1559000000,d=5G n24
a=698000000,b=716000000,d=5G n25
a=1850000000,b=1915000000,d=5G n26
a=703000000,b=748000000,d=5G n28
a=717000000,b=728000000,d=5G n29
a=2305000000,b=2315000000,d=5G n30
a=452500000,b=457500000,d=5G n31
a=1452000000,b=1496000000,d=5G n32
a=1900000000,b=1920000000,d=5G n33
a=2010000000,b=2025000000,d=5G n34
a=1850000000,b=1910000000,d=5G n35
a=1930000000,b=1990000000,d=5G n36
a=1910000000,b=1930000000,d=5G n37
a=2570000000,b=2620000000,d=5G n38
a=1880000000,b=1920000000,d=5G n39
a=2300000000,b=2400000000,d=5G n40
a=2496000000,b=2690000000,d=5G n41
a=3400000000,b=3600000000,d=5G n42
a=3600000000,b=3800000000,d=5G n43
a=703000000,b=803000000,d=5G n44
a=1447000000,b=1467000000,d=5G n45
a=5150000000,b=5925000000,d=5G n46
a=5855000000,b=5925000000,d=5G n47
a=3550000000,b=3700000000,d=5G n48
a=3550000000,b=3700000000,d=5G n49
a=1432000000,b=1517000000,d=5G n50
a=1427000000,b=1432000000,d=5G n51
a=3300000000,b=3400000000,d=5G n52
a=2483500000,b=2494000000,d=5G n53
a=1749900000,b=1784900000,d=5G n54
a=2110000000,b=2200000000,d=5G n65
a=2110000000,b=2200000000,d=5G n66
a=738000000,b=758000000,d=5G n67
a=753000000,b=783000000,d=5G n68
a=2570000000,b=2620000000,d=5G n69
a=1995000000,b=2020000000,d=5G n70
a=663000000,b=698000000,d=5G n71
a=516000000,b=524000000,d=5G n72
a=450000000,b=470000000,d=5G n73
a=1427000000,b=1470000000,d=5G n74
a=1432000000,b=1517000000,d=5G n75
a=1427000000,b=1432000000,d=5G n76
a=3300000000,b=4200000000,d=5G n77
a=3300000000,b=3800000000,d=5G n78
a=4400000000,b=5000000000,d=5G n79
a=1710000000,b=1785000000,d=5G n80
a=832000000,b=862000000,d=5G n81
a=832000000,b=862000000,d=5G n82
a=830000000,b=860000000,d=5G n83
a=1427000000,b=1432000000,d=5G n84
a=728000000,b=746000000,d=5G n85
a=1920000000,b=2010000000,d=5G n86
